episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,112,base
1,1,0,DONE_FAIL,300,base
2,2,1,DONE_OK,97,base
3,1,1,DONE_OK,109,base
4,1,1,DONE_OK,318,base
5,1,1,DONE_OK,115,base
6,1,0,DONE_FAIL,300,base
7,1,0,DONE_FAIL,137,base
8,1,1,DONE_OK,198,base
9,1,1,DONE_OK,151,base
10,1,1,DONE_OK,109,base
11,1,1,DONE_OK,148,base
12,1,1,DONE_OK,115,base
13,1,1,DONE_OK,80,base
14,1,1,DONE_OK,141,base
15,1,1,DONE_OK,162,base
16,1,1,DONE_OK,119,base
17,1,1,DONE_OK,135,base
18,1,0,DONE_FAIL,300,base
19,1,1,DONE_OK,132,base
20,1,1,DONE_OK,136,base
21,1,1,DONE_OK,132,base
22,1,1,DONE_OK,146,base
23,1,1,DONE_OK,85,base
24,1,1,DONE_OK,141,base
25,1,1,DONE_OK,116,base
26,1,0,DONE_FAIL,300,base
27,1,1,DONE_OK,115,base
28,1,1,DONE_OK,102,base
29,1,1,DONE_OK,105,base
30,1,0,DONE_FAIL,158,base
31,1,1,DONE_OK,111,base
32,1,1,DONE_OK,106,base
33,1,1,DONE_OK,109,base
34,1,1,DONE_OK,107,base
35,1,1,DONE_OK,130,base
36,1,1,DONE_OK,107,base
37,1,1,DONE_OK,132,base
38,1,1,DONE_OK,82,base
39,1,1,DONE_OK,114,base
40,1,0,DONE_FAIL,300,base
41,1,1,DONE_OK,159,base
42,1,1,DONE_OK,129,base
43,1,0,DONE_FAIL,300,base
44,1,1,DONE_OK,116,base
45,1,1,DONE_OK,123,base
46,1,0,DONE_FAIL,300,base
47,1,1,DONE_OK,140,base
48,1,0,DONE_FAIL,300,base
49,1,1,DONE_OK,92,base
50,1,1,DONE_OK,140,base
51,1,0,DONE_FAIL,185,base
52,1,0,DONE_FAIL,300,base
53,1,1,DONE_OK,101,base
54,1,1,DONE_OK,155,base
55,1,1,DONE_OK,136,base
56,1,1,DONE_OK,100,base
57,1,0,DONE_FAIL,111,base
58,1,1,DONE_OK,108,base
59,2,0,DONE_FAIL,300,base
60,1,1,DONE_OK,121,base
61,1,1,DONE_OK,173,base
62,1,1,DONE_OK,109,base
63,1,1,DONE_OK,88,base
64,1,1,DONE_OK,140,base
65,1,1,DONE_OK,86,base
66,1,1,DONE_OK,148,base
67,1,0,DONE_FAIL,300,base
68,1,1,DONE_OK,128,base
69,1,1,DONE_OK,147,base
70,1,1,DONE_OK,106,base
71,1,1,DONE_OK,161,base
72,1,1,DONE_OK,146,base
73,1,1,DONE_OK,52,base
74,1,1,DONE_OK,132,base
75,1,1,DONE_OK,103,base
76,1,1,DONE_OK,136,base
77,1,1,DONE_OK,89,base
78,1,1,DONE_OK,118,base
79,1,1,DONE_OK,159,base
80,1,1,DONE_OK,143,base
81,1,1,DONE_OK,114,base
82,1,0,DONE_FAIL,300,base
83,1,1,DONE_OK,113,base
84,1,1,DONE_OK,96,base
85,1,0,DONE_FAIL,300,base
86,1,1,DONE_OK,142,base
87,1,1,DONE_OK,89,base
88,1,1,DONE_OK,105,base
89,1,1,DONE_OK,152,base
90,1,1,DONE_OK,131,base
91,2,1,DONE_OK,151,base
92,1,1,DONE_OK,95,base
93,1,1,DONE_OK,107,base
94,1,1,DONE_OK,123,base
95,1,1,DONE_OK,145,base
96,1,1,DONE_OK,107,base
97,1,0,DONE_FAIL,300,base
98,1,1,DONE_OK,95,base
99,1,1,DONE_OK,118,base
