episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,truth,1,161,7,0,0,0,0
1,truth,1,106,7,0,0,0,0
2,truth,1,140,7,0,0,0,0
3,truth,1,146,7,0,0,0,0
4,truth,1,143,7,0,0,0,0
5,truth,1,133,7,0,0,0,0
6,truth,1,145,7,0,0,0,0
7,truth,1,128,7,0,0,0,0
8,truth,0,350,8,0,0,0,0
9,truth,1,127,7,0,0,0,0
10,truth,1,118,7,0,0,0,0
11,truth,1,160,7,0,0,0,0
12,truth,1,150,7,0,0,0,0
13,truth,1,309,7,0,0,0,0
14,truth,1,129,7,0,0,0,0
15,truth,1,165,7,0,0,0,0
16,truth,1,128,7,0,0,0,0
17,truth,1,132,7,0,0,0,0
18,truth,0,387,8,0,0,0,0
19,truth,1,148,7,0,0,0,0
20,truth,1,154,7,0,0,0,0
21,truth,1,129,7,0,0,0,0
22,truth,0,350,8,0,0,0,0
23,truth,1,144,7,0,0,0,0
24,truth,1,158,7,0,0,0,0
25,truth,1,144,7,0,0,0,0
26,truth,1,144,7,0,0,0,0
27,truth,0,341,8,0,0,0,0
28,truth,1,152,7,0,0,0,0
29,truth,1,141,7,0,0,0,0
30,truth,1,145,7,0,0,0,0
31,truth,1,121,7,0,0,0,0
32,truth,1,135,7,0,0,0,0
33,truth,1,85,7,0,0,0,0
34,truth,1,117,7,0,0,0,0
35,truth,1,184,7,0,0,0,0
36,truth,1,115,7,0,0,0,0
37,truth,1,105,7,0,0,0,0
38,truth,1,145,7,0,0,0,0
39,truth,1,132,7,0,0,0,0
40,truth,1,153,7,0,0,0,0
41,truth,1,152,7,0,0,0,0
42,truth,1,149,7,0,0,0,0
43,truth,1,154,7,0,0,0,0
44,truth,1,108,7,0,0,0,0
45,truth,1,159,7,0,0,0,0
46,truth,1,150,7,0,0,0,0
47,truth,1,133,7,0,0,0,0
48,truth,1,113,7,0,0,0,0
49,truth,0,139,8,0,0,0,0
